airline,iataCode,onTimePerformance,customerRating,amenities,baggagePolicy
ATA Airlines,TZ,0.9,4.9,"['Extra Legroom', 'Meals', 'In-Flight Entertainment', 'Wi-Fi']",No Free Bags
Aeroflot Russian International Airlines,XX,0.84,3.8,"['Meals', 'Extra Legroom', 'In-Flight Entertainment', 'Wi-Fi']",No Free Bags
Air Canada,AC,0.83,4.3,"['Meals', 'Extra Legroom']",2 Free Checked Bags
Air China,CA,0.88,5.0,"['Wi-Fi', 'Extra Legroom', 'Meals', 'In-Flight Entertainment']",1 Free Checked Bag
Air Europe,PE,0.8,3.4,"['Wi-Fi', 'In-Flight Entertainment', 'Extra Legroom']",2 Free Checked Bags
Air France,AF,0.91,3.7,"['Meals', 'Extra Legroom']",No Free Bags
Alaska Airlines,AS,0.93,3.2,"['Wi-Fi', 'In-Flight Entertainment', 'Meals', 'Extra Legroom']",No Free Bags
Alitalia Airlines,AZ,0.74,4.0,"['In-Flight Entertainment', 'Wi-Fi']",1 Free Checked Bag
"All Nippon Company Airways, Ltd.",NH,0.94,3.0,"['In-Flight Entertainment', 'Meals', 'Wi-Fi']",No Free Bags
American Airlines,AA,0.94,3.9,"['Wi-Fi', 'Meals', 'Extra Legroom']",2 Free Checked Bags
Asiana Airlines,OZ,0.95,4.8,"['Wi-Fi', 'Extra Legroom', 'Meals', 'In-Flight Entertainment']",No Free Bags
British Airways,BA,0.77,5.0,"['In-Flight Entertainment', 'Wi-Fi', 'Meals', 'Extra Legroom']",No Free Bags
Canadian Airlines,CP,0.91,5.0,"['In-Flight Entertainment', 'Extra Legroom', 'Wi-Fi']",1 Free Checked Bag
Cathay Pacific,CX,0.71,3.2,"['Extra Legroom', 'Meals', 'In-Flight Entertainment', 'Wi-Fi']",2 Free Checked Bags
Champion Air,MG,0.8,4.1,"['Extra Legroom', 'Meals', 'Wi-Fi']",No Free Bags
China Airlines,CI,0.94,3.5,"['Extra Legroom', 'Meals']",1 Free Checked Bag
"China Eastern Airlines, Inc",XX,0.83,3.2,"['Extra Legroom', 'Wi-Fi', 'In-Flight Entertainment', 'Meals']",No Free Bags
Delta Air Lines,DL,0.74,4.0,"['Extra Legroom', 'Wi-Fi', 'Meals', 'In-Flight Entertainment']",2 Free Checked Bags
EVA Airways,BR,0.8,4.9,"['Wi-Fi', 'Meals']",2 Free Checked Bags
Finnair,AY,0.9,4.1,"['In-Flight Entertainment', 'Extra Legroom', 'Meals', 'Wi-Fi']",2 Free Checked Bags
Frontier Airlines,F9,0.74,4.2,"['Extra Legroom', 'In-Flight Entertainment']",2 Free Checked Bags
Hawaiian Airlines,HA,0.77,3.5,"['In-Flight Entertainment', 'Wi-Fi', 'Meals']",No Free Bags
Japan Airlines,JL,0.81,4.1,"['In-Flight Entertainment', 'Wi-Fi']",1 Free Checked Bag
KLM Royal Dutch Airlines,KL,0.71,3.2,"['Extra Legroom', 'Meals', 'In-Flight Entertainment', 'Wi-Fi']",No Free Bags
Korean Air Lines,KE,0.81,4.7,"['Meals', 'Wi-Fi', 'In-Flight Entertainment']",1 Free Checked Bag
Lufthansa German Airlines,LH,0.8,4.9,"['Wi-Fi', 'Meals', 'Extra Legroom', 'In-Flight Entertainment']",No Free Bags
Mexicana Airlines,MX,0.94,4.6,"['Meals', 'Extra Legroom', 'Wi-Fi', 'In-Flight Entertainment']",1 Free Checked Bag
Miami Air International,GL,0.85,4.4,"['Extra Legroom', 'Meals']",No Free Bags
Midwest Airlines,YX,0.92,3.9,"['In-Flight Entertainment', 'Meals', 'Wi-Fi']",2 Free Checked Bags
National Airlines,N7,0.83,4.3,"['Extra Legroom', 'Wi-Fi', 'In-Flight Entertainment']",No Free Bags
Northwest Airlines (became Delta),NW,0.88,4.7,"['Extra Legroom', 'Wi-Fi', 'In-Flight Entertainment', 'Meals']",2 Free Checked Bags
Philippine Airlines,PR,0.87,4.3,"['Extra Legroom', 'Wi-Fi', 'Meals', 'In-Flight Entertainment']",No Free Bags
Reno Air,QQ,0.83,4.6,"['Meals', 'Extra Legroom', 'Wi-Fi']",2 Free Checked Bags
Ryan International Airlines,RD,0.77,4.7,"['Meals', 'In-Flight Entertainment']",1 Free Checked Bag
Singapore Airlines,SQ,0.74,4.2,"['In-Flight Entertainment', 'Meals']",2 Free Checked Bags
SkyWest Airlines,OO,0.71,3.1,"['Extra Legroom', 'Meals', 'In-Flight Entertainment']",1 Free Checked Bag
Sobelair Airlines,XX,0.91,3.4,"['Extra Legroom', 'Meals']",1 Free Checked Bag
Southwest Airlines,WN,0.8,3.6,"['Wi-Fi', 'Meals', 'Extra Legroom', 'In-Flight Entertainment']",No Free Bags
Sports Jet,XX,0.91,3.9,"['In-Flight Entertainment', 'Extra Legroom', 'Meals']",No Free Bags
Star Air,S6,0.74,4.7,"['Meals', 'Extra Legroom']",2 Free Checked Bags
Sun Country Airlines,SY,0.9,5.0,"['Meals', 'Extra Legroom']",2 Free Checked Bags
Swissair,SR,0.85,4.4,"['Meals', 'Wi-Fi', 'Extra Legroom']",2 Free Checked Bags
"TACA International Airlines, S.A.",TA,0.79,3.4,"['Meals', 'Wi-Fi', 'In-Flight Entertainment', 'Extra Legroom']",No Free Bags
TWA,TW,0.77,4.0,"['Wi-Fi', 'Extra Legroom', 'In-Flight Entertainment', 'Meals']",1 Free Checked Bag
Tower Air,FF,0.9,4.8,"['Extra Legroom', 'In-Flight Entertainment', 'Meals', 'Wi-Fi']",No Free Bags
Trans States Airlines,AX,0.79,4.1,"['In-Flight Entertainment', 'Wi-Fi', 'Extra Legroom', 'Meals']",1 Free Checked Bag
US Airways,US,0.93,4.4,"['Meals', 'Wi-Fi', 'Extra Legroom']",2 Free Checked Bags
United Airlines,UA,0.93,4.5,"['Extra Legroom', 'Wi-Fi', 'In-Flight Entertainment']",2 Free Checked Bags
United Airlines - Pre 07/01/2013,UA,0.83,3.1,"['In-Flight Entertainment', 'Meals', 'Extra Legroom', 'Wi-Fi']",No Free Bags
Virgin Atlantic,VS,0.93,3.6,"['Extra Legroom', 'In-Flight Entertainment', 'Wi-Fi', 'Meals']",2 Free Checked Bags
