flightNumber,airline,iataCode,origin,destination,region,departureTime,arrivalTime,duration,fare,fareClass,seatsAvailable,priceCategory,aircraftType,onTimePerformance
UA9473,United Airlines,UA,SFO,CUN,Mexico,2024-03-21T05:19:00,2024-03-21T08:22:00,183,959.0,Business,193,Other,Airbus A320,0.86
UA3330,Sports Hawk,UA,SFO,DOH,Middle East,2024-12-04T16:05:00,2024-12-04T20:53:00,288,173.14,Economy,143,Low Fare,Airbus A350,0.91
AF3636,El Al Israel Airlines LTD.,AF,SFO,NRT,Asia,2025-10-08T10:56:00,2025-10-08T20:46:00,590,244.91,Business,50,Low Fare,Airbus A350,0.82
CI103,China Airlines,CI,SFO,LAX,South America,2025-03-21T22:43:00,2025-03-22T07:18:00,515,351.15,Business,200,Other,Boeing 737,0.82
OH6484,Comair,OH,SFO,YVR,Canada,2024-09-17T06:58:00,2024-09-17T18:21:00,683,342.33,Business,38,Other,Boeing 787,0.85
FI2460,Icelandair EHF,FI,SFO,SJO,Central America,2025-01-29T23:53:00,2025-01-30T10:17:00,624,246.94,Business,166,Low Fare,Airbus A320,0.76
NH3547,"All Nippon Company Airways, Ltd.",NH,SFO,CDG,Europe,2025-04-19T11:41:00,2025-04-19T16:16:00,275,292.84,Premium Economy,140,Low Fare,Boeing 737,0.82
4O9688,ABC Aerolineas S.A. de C.V. dba Interjet,4O,SFO,FRA,Europe,2025-07-20T12:31:00,2025-07-20T19:39:00,428,171.24,Economy,39,Low Fare,Boeing 737,0.81
QR3544,Qatar Airways,QR,SFO,LAX,Australia / Oceania,2024-12-18T23:32:00,2024-12-19T07:02:00,450,384.04,Business,83,Other,Airbus A350,0.75
FL9804,AirTran Airways,FL,SFO,DOH,Middle East,2025-03-27T05:47:00,2025-03-27T16:24:00,637,181.56,Premium Economy,79,Low Fare,Airbus A350,0.92
AI5924,Air India Limited,AI,SFO,CDG,Europe,2024-01-14T04:47:00,2024-01-14T15:35:00,648,440.4,Business,28,Other,Boeing 787,0.87
NK7286,Spirit Airlines,NK,SFO,LAX,Australia / Oceania,2024-01-20T17:52:00,2024-01-20T18:57:00,65,1343.95,Economy,143,Other,Boeing 737,0.72
OO5911,"Samsic Airport America, LLC",OO,SFO,LAX,Australia / Oceania,2024-10-31T00:18:00,2024-10-31T10:15:00,597,190.32,Economy,170,Low Fare,Boeing 737,0.84
WW9880,WOW Air,WW,SFO,LAX,Australia / Oceania,2025-04-30T19:48:00,2025-04-30T21:27:00,99,138.84,Premium Economy,86,Low Fare,Boeing 737,0.9
SY7282,Sun Country Airlines,SY,SFO,DOH,Middle East,2024-06-17T09:47:00,2024-06-17T16:17:00,390,321.41,Economy,38,Low Fare,Airbus A320,0.75
CM4261,"COPA Airlines, Inc.",CM,SFO,YYZ,Canada,2024-07-03T17:39:00,2024-07-03T18:57:00,78,1247.42,Economy,31,Other,Airbus A350,0.74
VX5762,Virgin America,VX,SFO,DOH,Middle East,2025-05-14T08:17:00,2025-05-14T15:18:00,421,374.53,Business,119,Other,Airbus A350,0.91
ZG8200,Servisair,ZG,SFO,LAX,Australia / Oceania,2025-11-02T16:36:00,2025-11-02T23:22:00,406,582.97,Business,131,Other,Boeing 787,0.86
PD799,DB Air,PD,SFO,ORD,US,2025-05-01T21:56:00,2025-05-02T01:32:00,216,190.38,Economy,75,Low Fare,Airbus A320,0.76
ZG1816,ZIPAIR Tokyo Inc,ZG,SFO,CDG,Europe,2024-10-29T10:49:00,2024-10-29T20:09:00,560,1020.39,Premium Economy,41,Other,Boeing 787,0.94
PD7686,Porter Airlines (Canada) Limited,PD,SFO,DOH,Middle East,2025-08-11T18:52:00,2025-08-11T23:42:00,290,496.85,Economy,106,Other,Airbus A320,0.77
QR4318,Qatar Airways,QR,SFO,DXB,Middle East,2025-12-19T05:06:00,2025-12-19T14:13:00,547,322.39,Premium Economy,57,Low Fare,Boeing 787,0.75
WO4130,World Airways,WO,SFO,LAX,Australia / Oceania,2024-10-12T15:03:00,2024-10-13T02:16:00,673,823.8,Premium Economy,121,Other,Airbus A350,0.75
4O8087,ABC Aerolineas S.A. de C.V. dba Interjet,4O,SFO,LAX,Australia / Oceania,2025-08-19T01:10:00,2025-08-19T06:26:00,316,596.86,Premium Economy,33,Other,Airbus A350,0.95
CP663,Canadian Airlines,CP,SFO,DXB,Middle East,2025-05-25T08:12:00,2025-05-25T09:54:00,102,530.65,Premium Economy,96,Other,Boeing 737,0.86
PD4275,Porter Airlines (Canada) Limited,PD,SFO,LAX,Australia / Oceania,2024-06-02T16:36:00,2024-06-02T23:19:00,403,427.88,Business,144,Other,Airbus A350,0.82
UA8735,United Airlines - Pre 07/01/2013,UA,SFO,CUN,Mexico,2024-04-27T23:46:00,2024-04-28T02:42:00,176,152.96,Economy,92,Low Fare,Airbus A320,0.79
NW7496,Northwest Airlines (became Delta),NW,SFO,FRA,Europe,2024-12-04T12:04:00,2024-12-04T16:02:00,238,451.16,Premium Economy,186,Other,Boeing 737,0.74
NW9713,Northwest Airlines (became Delta),NW,SFO,DOH,Middle East,2025-05-02T15:43:00,2025-05-02T20:38:00,295,981.91,Economy,57,Other,Airbus A320,0.75
ZW1262,Air Wisconsin,ZW,SFO,DXB,Middle East,2024-06-08T01:16:00,2024-06-08T04:02:00,166,172.99,Economy,38,Low Fare,Boeing 787,0.88
NZ1373,Air New Zealand,NZ,SFO,YUL,Canada,2024-08-21T17:14:00,2024-08-22T01:59:00,525,422.27,Economy,195,Other,Boeing 787,0.88
TP3921,TAP Air Portugal,TP,SFO,LAX,South America,2025-04-30T16:40:00,2025-04-30T18:59:00,139,750.91,Business,152,Other,Boeing 787,0.74
CC148,Air Atlanta Icelandic,CC,SFO,LAX,South America,2025-05-27T21:53:00,2025-05-28T00:57:00,184,237.24,Premium Economy,129,Low Fare,Boeing 737,0.8
AF5119,Air France,AF,SFO,CUN,Mexico,2025-01-01T17:20:00,2025-01-01T19:30:00,130,328.11,Premium Economy,193,Low Fare,Airbus A320,0.72
QF5573,Qantas Airways,QF,SFO,DOH,Middle East,2024-07-14T14:57:00,2024-07-14T18:25:00,208,616.34,Premium Economy,35,Other,Airbus A320,0.86
5Y1080,"Atlas Air, Inc",5Y,SFO,LAX,South America,2024-11-18T16:55:00,2024-11-18T20:24:00,209,231.84,Premium Economy,121,Low Fare,Airbus A320,0.75
XP3825,Xtra Airways,XP,SFO,YUL,Canada,2025-11-03T11:24:00,2025-11-03T16:04:00,280,1186.8,Premium Economy,41,Other,Airbus A320,0.88
UA3126,United Airlines,UA,SFO,SJO,Central America,2025-09-12T22:20:00,2025-09-13T04:31:00,371,244.91,Economy,88,Low Fare,Boeing 787,0.77
SY8815,Norwegian Air Shuttle ASA,SY,SFO,LAX,US,2024-01-07T13:58:00,2024-01-07T23:13:00,555,308.45,Business,74,Low Fare,Airbus A350,0.85
YV5100,Mesa Airlines,YV,SFO,LHR,Europe,2025-03-08T16:19:00,2025-03-08T20:24:00,245,239.63,Economy,58,Low Fare,Boeing 737,0.89
TS364,Air Transat,TS,SFO,DOH,Middle East,2024-11-04T08:28:00,2024-11-04T16:21:00,473,1047.52,Business,166,Other,Airbus A350,0.87
WW9460,WOW Air,WW,SFO,YUL,Canada,2025-05-12T02:23:00,2025-05-12T08:30:00,367,1492.66,Premium Economy,183,Other,Airbus A320,0.76
QR4719,Qatar Airways,QR,SFO,LAX,Australia / Oceania,2025-04-12T17:30:00,2025-04-13T02:56:00,566,355.41,Economy,42,Low Fare,Airbus A320,0.78
WW4574,WOW Air,WW,SFO,LAX,Australia / Oceania,2025-08-02T21:18:00,2025-08-03T06:42:00,564,1023.65,Premium Economy,175,Other,Boeing 787,0.7
OH4824,Comair,OH,SFO,MEX,Mexico,2025-07-13T20:50:00,2025-07-13T22:49:00,119,1496.85,Economy,130,Other,Boeing 737,0.87
VX6213,El Al Israel Airlines LTD.,VX,SFO,MEX,Mexico,2024-01-10T11:58:00,2024-01-10T19:11:00,433,1458.33,Premium Economy,43,Other,Airbus A350,0.89
CP929,Compass Airlines,CP,SFO,FRA,Europe,2025-11-08T06:25:00,2025-11-08T13:05:00,400,303.98,Economy,64,Low Fare,Boeing 737,0.95
AC4902,Air Canada,AC,SFO,AMS,Europe,2024-07-30T00:11:00,2024-07-30T09:28:00,557,921.09,Premium Economy,154,Other,Airbus A350,0.78
PE6233,Air Europe,PE,SFO,MIA,US,2024-08-12T00:56:00,2024-08-12T09:39:00,523,380.52,Economy,75,Low Fare,Airbus A320,0.94
AF2154,Air France,AF,SFO,LAX,Australia / Oceania,2025-08-30T23:26:00,2025-08-31T09:29:00,603,827.1,Business,96,Other,Boeing 737,0.83
FJ9536,Air Pacific Limited dba Fiji Airways,FJ,SFO,MEX,Mexico,2024-06-11T07:54:00,2024-06-11T16:09:00,495,707.75,Premium Economy,107,Other,Airbus A350,0.94
AB4235,Air Berlin,AB,SFO,DXB,Middle East,2025-03-23T03:53:00,2025-03-23T13:13:00,560,1487.48,Economy,159,Other,Boeing 787,0.86
HA5194,Hawaiian Airlines,HA,SFO,CDG,Europe,2025-01-25T11:51:00,2025-01-25T14:24:00,153,955.35,Economy,36,Other,Boeing 737,0.85
F94267,Frontier Airlines,F9,SFO,YUL,Canada,2025-03-07T04:41:00,2025-03-07T05:58:00,77,199.18,Economy,128,Low Fare,Airbus A320,0.83
BF7306,French Bee,BF,SFO,DXB,Middle East,2024-07-21T21:59:00,2024-07-22T08:49:00,650,324.68,Business,80,Low Fare,Airbus A320,0.91
DL1022,Delta Air Lines,DL,SFO,LAX,Australia / Oceania,2024-05-24T21:13:00,2024-05-25T01:56:00,283,1129.73,Business,136,Other,Boeing 737,0.95
TA3674,"TACA International Airlines, S.A.",TA,SFO,PTY,Central America,2025-10-21T02:30:00,2025-10-21T07:06:00,276,354.78,Business,42,Low Fare,Boeing 737,0.9
LP9830,LAN Peru,LP,SFO,DXB,Middle East,2025-10-05T10:08:00,2025-10-05T20:18:00,610,332.32,Premium Economy,51,Low Fare,Airbus A320,0.86
CP1067,Compass Airlines,CP,SFO,LAX,Australia / Oceania,2024-06-08T18:10:00,2024-06-09T00:42:00,392,269.33,Business,49,Low Fare,Airbus A320,0.86
9W582,Air Italy S.P.A,9W,SFO,SJO,Central America,2024-01-03T08:30:00,2024-01-03T10:19:00,109,832.34,Business,109,Other,Airbus A320,0.94
CP1971,Compass Airlines,CP,SFO,NRT,Asia,2024-05-27T16:48:00,2024-05-28T04:01:00,673,249.67,Premium Economy,66,Low Fare,Boeing 787,0.79
FI9312,Icelandair EHF,FI,SFO,MIA,US,2024-02-22T06:03:00,2024-02-22T15:58:00,595,135.24,Premium Economy,191,Low Fare,Boeing 787,0.92
A89943,Ameriflight,A8,SFO,LAX,US,2024-07-07T07:58:00,2024-07-07T19:28:00,690,439.26,Business,64,Other,Airbus A350,0.77
AC2558,Air Canada,AC,SFO,LAX,South America,2024-02-08T04:26:00,2024-02-08T16:09:00,703,686.33,Economy,85,Other,Boeing 737,0.93
ZW6115,Air Wisconsin,ZW,SFO,MEX,Mexico,2024-06-06T17:32:00,2024-06-07T00:25:00,413,1329.53,Business,39,Other,Airbus A350,0.81
SE1799,XL Airways France,SE,SFO,DOH,Middle East,2024-02-13T14:48:00,2024-02-13T22:09:00,441,271.49,Premium Economy,153,Low Fare,Airbus A320,0.86
S64155,Star Air,S6,SFO,LAX,US,2024-07-18T08:37:00,2024-07-18T16:41:00,484,255.21,Economy,53,Low Fare,Boeing 787,0.8
TZ7622,ATA Airlines,TZ,SFO,ORD,US,2025-08-10T09:58:00,2025-08-10T19:08:00,550,340.29,Economy,171,Other,Boeing 737,0.92
WO7749,Trego Dugan Aviation,WO,SFO,LAX,South America,2024-03-30T01:39:00,2024-03-30T11:09:00,570,396.7,Business,56,Low Fare,Airbus A350,0.84
QR3553,Qatar Airways,QR,SFO,LHR,Europe,2024-03-28T10:29:00,2024-03-28T17:51:00,442,1250.34,Economy,109,Other,Boeing 737,0.76
NZ9361,Aeroflot Russian International Airlines,NZ,SFO,DOH,Middle East,2025-09-30T06:26:00,2025-09-30T12:55:00,389,351.34,Economy,199,Other,Airbus A350,0.75
UA8458,United Airlines - Pre 07/01/2013,UA,SFO,SJO,Central America,2025-02-20T04:29:00,2025-02-20T15:54:00,685,208.75,Premium Economy,173,Low Fare,Boeing 737,0.87
S62422,Trego Dugan Aviation,S6,SFO,AMS,Europe,2025-03-10T12:25:00,2025-03-10T19:56:00,451,297.23,Business,118,Low Fare,Airbus A350,0.74
WS3079,WestJet,WS,SFO,DOH,Middle East,2025-05-20T02:58:00,2025-05-20T04:29:00,91,503.26,Business,62,Other,Boeing 737,0.85
BA2212,British Airways,BA,SFO,CUN,Mexico,2024-03-30T04:26:00,2024-03-30T12:37:00,491,291.66,Premium Economy,56,Low Fare,Boeing 787,0.78
SR8708,Swissair,SR,SFO,DOH,Middle East,2025-10-25T01:58:00,2025-10-25T06:44:00,286,368.45,Business,111,Low Fare,Boeing 737,0.78
CX6050,Cathay Pacific,CX,SFO,HKG,Asia,2024-04-25T05:16:00,2024-04-25T15:08:00,592,162.28,Economy,194,Low Fare,Airbus A320,0.87
LY6741,Norwegian Air UK Ltd,LY,SFO,DEL,Asia,2024-03-31T22:26:00,2024-04-01T02:14:00,228,120.49,Economy,146,Low Fare,Airbus A320,0.79
PR7367,Aeroflot Russian International Airlines,PR,SFO,YYZ,Canada,2024-04-11T12:32:00,2024-04-11T23:35:00,663,170.16,Business,131,Low Fare,Airbus A320,0.94
EV6772,Atlantic Southeast Airlines,EV,SFO,MEX,Mexico,2025-10-17T19:19:00,2025-10-18T01:02:00,343,1067.6,Business,25,Other,Boeing 787,0.94
N78675,National Airlines,N7,SFO,LAX,Australia / Oceania,2025-12-23T02:59:00,2025-12-23T09:01:00,362,202.05,Business,109,Low Fare,Airbus A320,0.7
A88414,Ameriflight,A8,SFO,LAX,Australia / Oceania,2024-02-11T16:55:00,2024-02-11T19:51:00,176,297.62,Economy,158,Low Fare,Airbus A320,0.73
MQ699,"Envoy Air, Inc.",MQ,SFO,LAX,Australia / Oceania,2025-09-08T21:11:00,2025-09-09T08:12:00,661,132.3,Business,121,Low Fare,Boeing 787,0.86
MQ5670,"Envoy Air, Inc.",MQ,SFO,YYZ,Canada,2024-08-24T09:15:00,2024-08-24T16:06:00,411,1395.74,Business,97,Other,Airbus A350,0.93
OO3516,SkyWest Airlines,OO,SFO,CUN,Mexico,2025-03-04T10:12:00,2025-03-04T15:15:00,303,611.67,Economy,134,Other,Boeing 787,0.89
CP2061,Canadian Airlines,CP,SFO,DOH,Middle East,2024-02-01T07:08:00,2024-02-01T13:13:00,365,247.28,Premium Economy,85,Low Fare,Airbus A350,0.72
5Y5248,"Atlas Air, Inc",5Y,SFO,DEL,Asia,2025-07-26T01:45:00,2025-07-26T10:56:00,551,660.25,Premium Economy,42,Other,Airbus A320,0.73
NH5996,"All Nippon Company Airways, Ltd.",NH,SFO,DXB,Middle East,2025-08-12T16:43:00,2025-08-13T00:47:00,484,760.1,Economy,178,Other,Boeing 737,0.91
MG8069,Champion Air,MG,SFO,YVR,Canada,2024-04-21T23:02:00,2024-04-22T04:00:00,298,145.78,Economy,40,Low Fare,Boeing 737,0.91
MQ6535,American Eagle Airlines,MQ,SFO,CUN,Mexico,2024-01-06T08:08:00,2024-01-06T18:04:00,596,597.6,Premium Economy,101,Other,Boeing 787,0.74
MX919,Mexicana Airlines,MX,SFO,LAX,Australia / Oceania,2024-01-31T16:57:00,2024-02-01T00:30:00,453,1362.62,Business,59,Other,Boeing 737,0.76
EY2206,Etihad Airways,EY,SFO,AMS,Europe,2024-11-30T02:11:00,2024-11-30T12:14:00,603,481.22,Premium Economy,49,Other,Airbus A320,0.94
MU9379,China Eastern,MU,SFO,LAX,Australia / Oceania,2025-10-11T18:05:00,2025-10-12T01:52:00,467,127.94,Business,117,Low Fare,Airbus A320,0.88
CP7116,Compass Airlines,CP,SFO,LAX,Australia / Oceania,2025-04-04T00:26:00,2025-04-04T02:49:00,143,379.98,Business,175,Other,Boeing 787,0.75
VX9780,Virgin America,VX,SFO,SIN,Asia,2024-04-23T01:47:00,2024-04-23T07:03:00,316,321.08,Premium Economy,41,Low Fare,Airbus A350,0.73
