itineraryId,flightNumber,airline,destination,train,hotel,hotelPricePerNight,totalCost,travelDate
ef61c319-e984-4043-b228-04eb50eb84d1,TW4263,TWA,MEX,Train #456,Chapman LLC Hotel,412.02,691.55,2024-01-27T15:40:00
0f6a8cc5-a373-4a13-9a1b-2a386b40cfb4,MX6190,Boeing Company,CUN,None,"Roberts, Torres and Barnes Hotel",366.72,800.1,2024-08-19T04:46:00
c5cfb8bb-5a0c-4d2b-80b4-35ed89c2fb04,AB5583,Air Berlin,SJO,Train #456,Chambers-Grimes Hotel,362.72,659.89,2025-08-29T12:27:00
0cbf9031-ec2e-496f-87ec-4a3c3400cb14,OY9584,Omni Air International,DEL,Train #456,None,,850.6,2025-12-22T23:13:00
04618c78-77d0-45ab-9853-783e1ba7c3fc,XP5318,Xtra Airways,LAX,Train #123,Liu PLC Hotel,246.75,1600.12,2025-11-05T01:49:00
497a7b40-3b68-4be1-8cc3-8a00b6066e18,F91966,Frontier Airlines,NRT,Train #123,Johnson-Robles Hotel,351.65,658.73,2025-12-28T07:21:00
85dda3e8-63e7-4c76-bbef-fe19f94ba4a5,AI4303,Air India Limited,LAX,None,Green LLC Hotel,150.74,1022.75,2025-12-09T11:45:00
ef8ef126-270b-446c-b1c0-145f235b2fdf,G49125,Allegiant Air,LAX,Train #123,None,,834.02,2025-07-29T13:59:00
c6c94c4e-32d8-4e92-934c-a0a5bd0108d7,XP7044,Casino Express,MEX,None,"Lewis, Smith and Hall Hotel",298.6,1619.82,2024-11-16T15:13:00
f1cc6789-e80c-4a62-bd34-cae01762b487,TS3749,Air Transat,LHR,Train #123,Jackson-Norman Hotel,417.76,1306.14,2025-05-02T12:26:00
6f60025a-0571-4324-9b0c-1927c43c8386,TW4263,TWA,MEX,Train #123,Williams-Higgins Hotel,117.87,495.99,2024-01-27T15:40:00
c785a4b4-efb9-4047-9277-4a4e6f47f241,BF8766,French Bee,LAX,Train #456,None,,876.1,2025-10-25T00:59:00
74f18ca2-f1f4-4d87-b08b-ada1291dc9ef,SR8417,Swissair,DEL,Train #123,"Reyes, Day and Mack Hotel",140.76,608.58,2024-05-11T21:12:00
e647c90c-3411-4823-bce6-b1bdc6eb5e1f,YP717,"Air Premia, Inc.",LAX,Train #456,Johnson Group Hotel,259.13,560.12,2025-01-13T06:33:00
078237a9-a130-4981-81d3-c71e0276f507,EZ4213,Evergreen International Airlines,FRA,None,None,,955.55,2024-11-01T14:57:00
1d423278-ee21-4f31-95e9-ac768884e21a,LH999,Lufthansa German Airlines,YYZ,Train #123,Mathews Group Hotel,120.12,348.85,2025-05-01T02:39:00
f138f277-7958-4771-b679-332565a73105,YV4900,Mesa Airlines,LAX,None,Rush-Weber Hotel,141.1,544.9,2025-01-31T21:23:00
f38d2db8-308f-4150-bd59-7f323b146a33,A84753,Ameriflight,ORD,Train #456,"Davis, Howell and Mathews Hotel",488.02,1776.08,2024-11-28T06:02:00
3f12b1a5-a6e6-410e-9e90-fe4ffd074477,PD9849,Porter Airlines (Canada) Limited,MIA,Train #123,Hancock-Jenkins Hotel,426.83,660.73,2025-08-21T07:10:00
f13dd388-18e4-4db9-b1bf-f759fbdeac5f,MG2611,Champion Air,LAX,None,"Douglas, Scott and Hudson Hotel",354.31,918.97,2024-06-15T18:59:00
edf4e329-61f6-41b5-9996-6c29678338f9,NJ4218,Vanguard Airlines,JFK,Train #123,Barnes-Wagner Hotel,162.44,1587.75,2024-01-17T08:22:00
19f54419-4d09-463e-b5bb-d9d87ba4844c,EV2469,Atlantic Southeast Airlines,DEL,Train #123,"Snyder, Barnes and Taylor Hotel",349.38,910.45,2025-11-08T10:15:00
352f14ee-5745-4d93-a7ca-25f945672dc9,A83785,DB Air,HKG,None,Sanders-Castro Hotel,139.03,422.42,2025-11-29T20:41:00
3ae9319f-a2a7-4923-aea0-55f1d99ce086,MX3657,Trego Dugan Aviation,ORD,Train #123,Blair-Wagner Hotel,335.25,667.49,2024-06-16T01:36:00
4630c18f-143e-4cc2-9e72-9817f8a3c31f,A89326,Ameriflight,MEX,Train #123,Johnson-Pham Hotel,388.64,755.37,2025-07-19T03:21:00
6f804b16-7db3-4b4e-a1ac-75fb58ce7f06,S63441,"Samsic Airport America, LLC",LAX,Train #456,Davies LLC Hotel,439.21,1448.07,2024-12-14T23:18:00
8af0680e-78dd-44d7-9335-f8e6587cde1e,XE5563,ExpressJet Airlines,YVR,Train #456,"Cole, Campbell and Bright Hotel",345.18,1114.93,2024-08-07T08:40:00
3d309cc6-2e94-4de3-81e2-ab0e8eb9b400,BR9624,Sports Hawk,NRT,Train #123,Parker-Bowen Hotel,79.78,370.93,2024-09-26T16:59:00
f1e8bff8-1cf4-4a28-854b-634de24225d4,IB2442,Iberia,SJO,None,"Hawkins, Diaz and Cooley Hotel",430.92,723.59,2025-03-12T20:22:00
25ebe693-07a5-4b18-beda-ae614501292b,CC2804,Air Atlanta Icelandic,SJO,Train #456,None,,320.98,2025-02-21T21:29:00
c76cdd3a-0275-48e3-ba28-5de2f1e5e315,WW5523,WOW Air,MIA,None,"Levine, Trevino and Briggs Hotel",401.61,624.0,2024-08-28T22:12:00
1ecb9c67-dc0c-4bc9-8fdb-bacb66c9285a,GL8479,Miami Air International,JFK,None,"Mejia, Burke and Daniel Hotel",466.38,1840.43,2024-03-31T04:24:00
4aaa1055-a77c-463b-b3d1-b1a06ac22b71,AY1618,Finnair,HKG,None,Anderson-Dickson Hotel,76.72,726.8,2025-10-12T06:25:00
b17bbf3e-85c7-4791-b8ee-b5dc475f1cbb,AB3939,Air Berlin,CUN,Train #456,"Rhodes, Whitney and Johns Hotel",150.16,420.67,2025-04-25T22:12:00
a3c4bed2-066f-4d13-b854-a5cf536d29de,OY8749,Omni Air International,LAX,None,Miller-Holder Hotel,253.7,1245.0,2025-06-09T05:13:00
a67be162-4738-4552-955b-1c623fdf05ec,CP7625,Canadian Airlines,LAX,None,Bailey PLC Hotel,269.61,1513.67,2024-08-26T22:41:00
9c02d92f-70d7-485c-b6db-2c2e51454627,JL7495,Japan Airlines,YUL,Train #123,Gonzalez Group Hotel,56.6,347.7,2025-11-25T14:27:00
744e9ac9-e9f9-4a35-9291-1af88adfff1f,N71707,National Airlines,CUN,Train #123,None,,235.84,2024-05-17T02:30:00
a73f8ca1-77a3-40ef-a758-ceca57debdfd,FF3287,Tower Air,LAX,None,"Clark, Jones and Walter Hotel",484.5,797.55,2024-04-08T16:25:00
bbbe24bb-d66e-45fa-8ec7-45b9d7cc3489,TA7356,"TACA International Airlines, S.A.",DEL,None,Rivera-Allen Hotel,229.8,376.28,2024-07-31T06:54:00
44a1de92-f9f5-4d47-884b-54b2b33bd8d6,XP6184,Xtra Airways,YYZ,Train #123,Munoz Inc Hotel,204.35,1078.05,2025-01-19T10:14:00
baa938bf-cfdb-43b5-a6ce-672203d465a6,OO539,SkyWest Airlines,LAX,Train #456,"Hart, Charles and Wallace Hotel",420.5,789.05,2025-05-12T18:24:00
310f0231-4a1f-48f5-956e-0f8b54e0fc09,CC5197,Air Atlanta Icelandic,MEX,Train #456,Graves Inc Hotel,225.43,409.5,2025-11-13T00:54:00
8444b39d-85c4-47be-9bb1-036d7b841334,B66121,JetBlue Airways,JFK,Train #456,None,,182.85,2025-01-20T07:32:00
30f15926-e5c8-461e-9866-a3390ab38ff5,NJ6115,Vanguard Airlines,MEX,Train #456,Cortez LLC Hotel,469.89,609.9,2024-07-28T11:00:00
85824cb3-7f5f-4c75-9502-53509043e360,G41769,Allegiant Air,LAX,Train #123,None,,380.71,2024-09-19T22:22:00
88919203-7389-43a9-a62c-75ab7bb3ae49,TA7682,"TACA International Airlines, S.A.",DXB,Train #456,"Stevenson, Robinson and Herrera Hotel",86.3,1564.54,2025-10-24T12:19:00
d5ff54c3-7a56-49fb-8d9e-d518db9270d8,OY1560,"Samsic Airport America, LLC",NRT,Train #123,None,,138.99,2024-04-08T12:34:00
afe80f4f-6007-427b-9834-b1eb6e0628cd,SR4089,Swissair,YYZ,Train #123,None,,767.82,2025-01-07T15:35:00
5396ff4c-6584-451c-99e1-6753985ec433,DL9853,Delta Air Lines,YUL,Train #456,Beck-Nelson Hotel,323.98,688.76,2024-04-18T09:30:00
e499d1c7-84b5-4c3e-be52-afdbffc16859,IB3996,Boeing Company,CUN,None,Robbins-White Hotel,175.12,329.05,2024-03-09T14:41:00
d93f5aa4-4448-49bb-8de1-4aa3bf77c887,N72816,National Airlines,NRT,Train #123,"Bass, Garcia and Graham Hotel",159.91,1256.58,2025-04-08T22:47:00
65358014-1c7a-4d76-ab00-123c017a6e13,WS5645,WestJet,LAX,None,Duffy-Sanders Hotel,420.54,959.79,2025-05-07T09:33:00
18b370cf-b0ad-4e72-a111-8612956779ef,QF7118,Qantas Airways,SIN,Train #456,Pierce PLC Hotel,273.15,617.21,2025-04-08T20:06:00
fbb37409-465b-4b3f-9bd0-245f261a7ca9,AZ1362,Alitalia Airlines,LAX,Train #123,Silva-Carey Hotel,139.42,359.79,2025-01-18T20:06:00
