userId,age,nationality,budgetPreference,cabinPreference,frequentRegions,bookingHistory
15894ef6-dd63-40aa-811c-2097cbf8d8b9,18,IN,Low Fare,Premium Economy,"['Australia / Oceania', 'Central America', 'South America']","[{'flightNumber': 'OH5956', 'date': '2025-12-31T03:14:00'}, {'flightNumber': 'KL7619', 'date': '2025-12-19T18:29:00'}, {'flightNumber': 'MT741', 'date': '2024-06-09T03:35:00'}, {'flightNumber': 'QF9236', 'date': '2024-12-14T20:27:00'}, {'flightNumber': 'DL9300', 'date': '2025-02-15T13:41:00'}]"
4c46b749-1fc3-4084-8f4a-7c94c83f2e55,32,MY,Other,Premium Economy,"['Asia', 'Middle East']","[{'flightNumber': 'Z05374', 'date': '2024-10-20T18:05:00'}, {'flightNumber': 'NH9218', 'date': '2025-10-31T07:18:00'}, {'flightNumber': 'OZ8277', 'date': '2024-02-01T17:05:00'}, {'flightNumber': 'JX2888', 'date': '2024-10-04T03:52:00'}]"
810bc72a-d38e-4cca-9a2f-fe25d3f736ea,37,IR,Low Fare,Premium Economy,"['Australia / Oceania', 'South America', 'Europe']","[{'flightNumber': 'EY7189', 'date': '2025-09-26T05:29:00'}]"
3429fb25-f2ee-45d3-9723-7e4a36be0903,75,NG,Other,Premium Economy,"['Asia', 'US']","[{'flightNumber': 'CC2704', 'date': '2024-09-17T05:19:00'}, {'flightNumber': 'PR581', 'date': '2025-12-28T20:31:00'}]"
8e10a35b-e908-4bc0-88ac-54feb1e90243,56,SG,Other,Business,"['Mexico', 'Canada']","[{'flightNumber': 'FI9756', 'date': '2025-08-14T15:05:00'}, {'flightNumber': 'SS1884', 'date': '2024-12-12T22:32:00'}, {'flightNumber': 'UA1121', 'date': '2025-05-12T00:42:00'}]"
895311bd-9a4d-43df-ab56-2c45c297d007,47,PG,Low Fare,Premium Economy,['Australia / Oceania'],"[{'flightNumber': 'RD6105', 'date': '2024-04-20T08:11:00'}, {'flightNumber': 'DL3775', 'date': '2024-04-18T05:50:00'}]"
71e3277c-c6fa-44c2-bd2d-7d44f0f3d778,41,ME,Low Fare,Business,['Central America'],"[{'flightNumber': 'SR2895', 'date': '2025-05-08T22:27:00'}, {'flightNumber': 'B65629', 'date': '2024-05-15T18:42:00'}, {'flightNumber': 'S6498', 'date': '2024-08-18T17:51:00'}, {'flightNumber': 'QR9703', 'date': '2024-01-17T19:17:00'}]"
4ee405d9-1a7a-4d0d-a291-729501d80b67,45,DZ,Low Fare,Premium Economy,"['Middle East', 'Asia', 'Central America']","[{'flightNumber': 'BR8421', 'date': '2024-02-04T11:27:00'}, {'flightNumber': 'CI3337', 'date': '2024-05-02T19:31:00'}, {'flightNumber': 'F92900', 'date': '2025-08-30T00:42:00'}, {'flightNumber': 'EY9209', 'date': '2024-01-14T18:59:00'}]"
5f6057eb-d35b-402b-aad3-af245ecdacff,60,NA,Other,Economy,"['Middle East', 'Asia', 'US']","[{'flightNumber': 'TZ1090', 'date': '2025-01-21T23:44:00'}, {'flightNumber': 'CC5155', 'date': '2025-01-22T07:30:00'}]"
84a51996-f1ac-413d-bbf7-1e9ddba0b1b6,78,MU,Other,Premium Economy,"['Central America', 'Australia / Oceania']","[{'flightNumber': 'YV9459', 'date': '2025-05-21T07:13:00'}, {'flightNumber': 'NJ1776', 'date': '2025-03-10T21:37:00'}, {'flightNumber': 'SK4147', 'date': '2025-04-13T06:22:00'}, {'flightNumber': 'CI7362', 'date': '2024-05-27T14:52:00'}]"
