flightNumber,date,fare,fareClass,seatsAvailable,priceCategory
UA9473,2024-03-21T05:19:00,959.0,Business,193,Other
UA3330,2024-12-04T16:05:00,173.14,Economy,143,Low Fare
AF3636,2025-10-08T10:56:00,244.91,Business,50,Low Fare
CI103,2025-03-21T22:43:00,351.15,Business,200,Other
OH6484,2024-09-17T06:58:00,342.33,Business,38,Other
FI2460,2025-01-29T23:53:00,246.94,Business,166,Low Fare
NH3547,2025-04-19T11:41:00,292.84,Premium Economy,140,Low Fare
4O9688,2025-07-20T12:31:00,171.24,Economy,39,Low Fare
QR3544,2024-12-18T23:32:00,384.04,Business,83,Other
FL9804,2025-03-27T05:47:00,181.56,Premium Economy,79,Low Fare
AI5924,2024-01-14T04:47:00,440.4,Business,28,Other
NK7286,2024-01-20T17:52:00,1343.95,Economy,143,Other
OO5911,2024-10-31T00:18:00,190.32,Economy,170,Low Fare
WW9880,2025-04-30T19:48:00,138.84,Premium Economy,86,Low Fare
SY7282,2024-06-17T09:47:00,321.41,Economy,38,Low Fare
CM4261,2024-07-03T17:39:00,1247.42,Economy,31,Other
VX5762,2025-05-14T08:17:00,374.53,Business,119,Other
ZG8200,2025-11-02T16:36:00,582.97,Business,131,Other
PD799,2025-05-01T21:56:00,190.38,Economy,75,Low Fare
ZG1816,2024-10-29T10:49:00,1020.39,Premium Economy,41,Other
PD7686,2025-08-11T18:52:00,496.85,Economy,106,Other
QR4318,2025-12-19T05:06:00,322.39,Premium Economy,57,Low Fare
WO4130,2024-10-12T15:03:00,823.8,Premium Economy,121,Other
4O8087,2025-08-19T01:10:00,596.86,Premium Economy,33,Other
CP663,2025-05-25T08:12:00,530.65,Premium Economy,96,Other
PD4275,2024-06-02T16:36:00,427.88,Business,144,Other
UA8735,2024-04-27T23:46:00,152.96,Economy,92,Low Fare
NW7496,2024-12-04T12:04:00,451.16,Premium Economy,186,Other
NW9713,2025-05-02T15:43:00,981.91,Economy,57,Other
ZW1262,2024-06-08T01:16:00,172.99,Economy,38,Low Fare
NZ1373,2024-08-21T17:14:00,422.27,Economy,195,Other
TP3921,2025-04-30T16:40:00,750.91,Business,152,Other
CC148,2025-05-27T21:53:00,237.24,Premium Economy,129,Low Fare
AF5119,2025-01-01T17:20:00,328.11,Premium Economy,193,Low Fare
QF5573,2024-07-14T14:57:00,616.34,Premium Economy,35,Other
5Y1080,2024-11-18T16:55:00,231.84,Premium Economy,121,Low Fare
XP3825,2025-11-03T11:24:00,1186.8,Premium Economy,41,Other
UA3126,2025-09-12T22:20:00,244.91,Economy,88,Low Fare
SY8815,2024-01-07T13:58:00,308.45,Business,74,Low Fare
YV5100,2025-03-08T16:19:00,239.63,Economy,58,Low Fare
TS364,2024-11-04T08:28:00,1047.52,Business,166,Other
WW9460,2025-05-12T02:23:00,1492.66,Premium Economy,183,Other
QR4719,2025-04-12T17:30:00,355.41,Economy,42,Low Fare
WW4574,2025-08-02T21:18:00,1023.65,Premium Economy,175,Other
OH4824,2025-07-13T20:50:00,1496.85,Economy,130,Other
VX6213,2024-01-10T11:58:00,1458.33,Premium Economy,43,Other
CP929,2025-11-08T06:25:00,303.98,Economy,64,Low Fare
AC4902,2024-07-30T00:11:00,921.09,Premium Economy,154,Other
PE6233,2024-08-12T00:56:00,380.52,Economy,75,Low Fare
AF2154,2025-08-30T23:26:00,827.1,Business,96,Other
FJ9536,2024-06-11T07:54:00,707.75,Premium Economy,107,Other
AB4235,2025-03-23T03:53:00,1487.48,Economy,159,Other
HA5194,2025-01-25T11:51:00,955.35,Economy,36,Other
F94267,2025-03-07T04:41:00,199.18,Economy,128,Low Fare
BF7306,2024-07-21T21:59:00,324.68,Business,80,Low Fare
DL1022,2024-05-24T21:13:00,1129.73,Business,136,Other
TA3674,2025-10-21T02:30:00,354.78,Business,42,Low Fare
LP9830,2025-10-05T10:08:00,332.32,Premium Economy,51,Low Fare
CP1067,2024-06-08T18:10:00,269.33,Business,49,Low Fare
9W582,2024-01-03T08:30:00,832.34,Business,109,Other
CP1971,2024-05-27T16:48:00,249.67,Premium Economy,66,Low Fare
FI9312,2024-02-22T06:03:00,135.24,Premium Economy,191,Low Fare
A89943,2024-07-07T07:58:00,439.26,Business,64,Other
AC2558,2024-02-08T04:26:00,686.33,Economy,85,Other
ZW6115,2024-06-06T17:32:00,1329.53,Business,39,Other
SE1799,2024-02-13T14:48:00,271.49,Premium Economy,153,Low Fare
S64155,2024-07-18T08:37:00,255.21,Economy,53,Low Fare
TZ7622,2025-08-10T09:58:00,340.29,Economy,171,Other
WO7749,2024-03-30T01:39:00,396.7,Business,56,Low Fare
QR3553,2024-03-28T10:29:00,1250.34,Economy,109,Other
NZ9361,2025-09-30T06:26:00,351.34,Economy,199,Other
UA8458,2025-02-20T04:29:00,208.75,Premium Economy,173,Low Fare
S62422,2025-03-10T12:25:00,297.23,Business,118,Low Fare
WS3079,2025-05-20T02:58:00,503.26,Business,62,Other
BA2212,2024-03-30T04:26:00,291.66,Premium Economy,56,Low Fare
SR8708,2025-10-25T01:58:00,368.45,Business,111,Low Fare
CX6050,2024-04-25T05:16:00,162.28,Economy,194,Low Fare
LY6741,2024-03-31T22:26:00,120.49,Economy,146,Low Fare
PR7367,2024-04-11T12:32:00,170.16,Business,131,Low Fare
EV6772,2025-10-17T19:19:00,1067.6,Business,25,Other
N78675,2025-12-23T02:59:00,202.05,Business,109,Low Fare
A88414,2024-02-11T16:55:00,297.62,Economy,158,Low Fare
MQ699,2025-09-08T21:11:00,132.3,Business,121,Low Fare
MQ5670,2024-08-24T09:15:00,1395.74,Business,97,Other
OO3516,2025-03-04T10:12:00,611.67,Economy,134,Other
CP2061,2024-02-01T07:08:00,247.28,Premium Economy,85,Low Fare
5Y5248,2025-07-26T01:45:00,660.25,Premium Economy,42,Other
NH5996,2025-08-12T16:43:00,760.1,Economy,178,Other
MG8069,2024-04-21T23:02:00,145.78,Economy,40,Low Fare
MQ6535,2024-01-06T08:08:00,597.6,Premium Economy,101,Other
MX919,2024-01-31T16:57:00,1362.62,Business,59,Other
EY2206,2024-11-30T02:11:00,481.22,Premium Economy,49,Other
MU9379,2025-10-11T18:05:00,127.94,Business,117,Low Fare
CP7116,2025-04-04T00:26:00,379.98,Business,175,Other
VX9780,2024-04-23T01:47:00,321.08,Premium Economy,41,Low Fare
XP2488,2025-07-20T21:04:00,214.57,Business,90,Low Fare
YX7285,2024-06-28T13:12:00,161.08,Economy,24,Low Fare
BR5570,2024-10-05T17:34:00,380.66,Economy,192,Low Fare
WW6154,2024-12-17T09:39:00,276.12,Premium Economy,144,Low Fare
9W6382,2025-02-16T21:54:00,133.33,Business,67,Low Fare
Y43306,2025-09-26T17:26:00,342.13,Economy,54,Low Fare
TK7485,2025-06-24T06:59:00,1113.04,Economy,179,Other
MQ1393,2025-04-03T02:35:00,297.58,Premium Economy,103,Low Fare
A82268,2025-01-26T04:26:00,804.03,Premium Economy,48,Other
