destination,date,weather,temperature,travelRestriction
PTY,2025-09-11T17:53:00,Snowy,-0.4,None
YYZ,2025-03-08T18:24:00,Rainy,13.7,Health Check
NRT,2024-10-01T23:05:00,Cloudy,14.6,Visa Required
YYZ,2025-10-20T21:12:00,Cloudy,1.2,None
SJO,2024-09-08T08:57:00,Snowy,-2.4,Health Check
AMS,2025-07-10T10:31:00,Sunny,12.0,Visa Required
DXB,2025-03-23T20:09:00,Snowy,13.3,None
YVR,2024-03-28T21:06:00,Cloudy,23.9,None
SIN,2025-08-20T06:08:00,Rainy,13.9,Visa Required
YUL,2025-02-11T02:30:00,Snowy,-2.7,Health Check
PTY,2025-02-15T07:22:00,Snowy,34.3,Health Check
DXB,2024-05-23T05:17:00,Snowy,1.5,Visa Required
JFK,2024-12-26T22:21:00,Snowy,27.7,Visa Required
LAX,2024-04-23T23:59:00,Rainy,26.7,Health Check
YVR,2025-10-22T10:53:00,Sunny,12.3,Health Check
AMS,2025-08-29T21:31:00,Rainy,-6.4,Visa Required
LAX,2024-07-20T02:20:00,Rainy,13.4,Health Check
LAX,2024-02-21T18:03:00,Sunny,-6.2,Health Check
YUL,2025-08-10T14:14:00,Rainy,30.4,Visa Required
SJO,2024-03-18T18:30:00,Cloudy,5.2,Health Check
LHR,2024-01-30T00:02:00,Cloudy,24.3,Visa Required
MEX,2025-12-13T06:58:00,Rainy,15.2,None
SIN,2024-01-17T13:22:00,Sunny,26.6,Health Check
LAX,2024-07-15T18:44:00,Snowy,34.2,Health Check
DEL,2024-01-06T15:42:00,Sunny,24.4,Visa Required
MEX,2024-05-09T07:40:00,Sunny,-4.3,None
NRT,2025-07-30T19:10:00,Rainy,14.7,None
LHR,2025-11-19T05:23:00,Cloudy,7.0,Visa Required
MEX,2024-10-20T11:49:00,Snowy,28.5,Visa Required
NRT,2025-05-25T19:13:00,Cloudy,25.7,Visa Required
ORD,2025-07-19T14:18:00,Sunny,10.3,Health Check
CDG,2025-10-31T01:21:00,Snowy,12.8,Visa Required
JFK,2024-03-15T12:28:00,Snowy,8.2,Health Check
SJO,2024-06-08T22:19:00,Rainy,27.5,None
YYZ,2024-11-29T01:06:00,Sunny,25.2,Health Check
CDG,2024-08-22T20:39:00,Snowy,16.4,None
CDG,2024-10-08T01:27:00,Cloudy,25.8,Health Check
CUN,2025-11-07T16:45:00,Snowy,7.7,Health Check
SIN,2024-01-08T00:24:00,Sunny,-2.7,Health Check
MIA,2024-07-05T13:36:00,Snowy,12.0,None
